climax-2018,46%(M) -- 71%(I)
im-thinking-of-ending-things,79%(M) -- 95%(I)
brick,70%(M) -- 72%(I)
perfect-blue,69%(M) -- 88%(I)
paprika-2006,87%(M) -- 75%(I)
its-such-a-beautiful-day,69%(M) -- 81%(I)
the-elephant-man,92%(M) -- 84%(I)
portrait-of-a-lady-on-fire,93%(M) -- 96%(I)
shoplifters,84%(M) -- 86%(I)
the-strange-thing-about-the-johnsons,41%(M) -- 39%(I)
munchausen,39%(M) -- 35%(I)
hereditary,87%(M) -- 85%(I)
the-passion-of-joan-of-arc,88%(M) -- 87%(I)
the-hater,52%(M) -- 43%(I)
synecdoche-new-york,75%(M) -- 86%(I)
an-elephant-sitting-still,63%(M) -- 76%(I)
the-prestige,85%(M) -- 81%(I)
incendies,87%(M) -- 76%(I)
dogtooth,74%(M) -- 88%(I)
alien,88%(M) -- 80%(I)
marriage-story-2019,90%(M) -- 93%(I)
prisoners,80%(M) -- 69%(I)
persepolis,83%(M) -- 84%(I)
the-lobster,86%(M) -- 96%(I)
la-haine,68%(M) -- 91%(I)
snowpiercer,59%(M) -- 53%(I)
hope-2013,60%(M) -- 62%(I)
the-killing-of-a-sacred-deer,76%(M) -- 82%(I)
a-ghost-story-2017,86%(M) -- 91%(I)
the-wolf-house,69%(M) -- 77%(I)
jackal-of-nahueltoro,60%(M) -- 61%(I)
wonder-woman-2017,42%(M) -- 32%(I)
mission-impossible-ghost-protocol,58%(M) -- 41%(I)
mission-impossible-rogue-nation,64%(M) -- 55%(I)
solaris,85%(M) -- 91%(I)
night-of-the-living-dead,66%(M) -- 72%(I)
paths-of-glory,83%(M) -- 86%(I)
jojo-rabbit,71%(M) -- 76%(I)
parasite-2019,93%(M) -- 86%(I)
blade-runner-2049,85%(M) -- 78%(I)
blade-runner,87%(M) -- 90%(I)
suspiria,77%(M) -- 78%(I)
suspiria-2018,48%(M) -- 78%(I)
neon-genesis-evangelion-the-end-of-evangelion,64%(M) -- 69%(I)
mother-2017,73%(M) -- 63%(I)
midsommar,70%(M) -- 80%(I)
the-host,72%(M) -- 70%(I)
burning-2018,83%(M) -- 82%(I)
spirited-away,83%(M) -- 74%(I)
grave-of-the-fireflies,83%(M) -- 86%(I)
gladiator-2000,61%(M) -- 51%(I)
the-lighthouse-2019,83%(M) -- 94%(I)
the-secret-garden-1993,58%(M) -- 48%(I)
inception,93%(M) -- 39%(I)
nausicaa-of-the-valley-of-the-wind,68%(M) -- 73%(I)
cha-cha-real-smooth,65%(M) -- 61%(I)
belle-2021,58%(M) -- 52%(I)
after-yang,65%(M) -- 52%(I)
the-good-boss,57%(M) -- 46%(I)
compartment-no-6,67%(M) -- 72%(I)
tick-tick-boom-2021,61%(M) -- 50%(I)
the-tragedy-of-macbeth,68%(M) -- 76%(I)
the-tender-bar,29%(M) -- 35%(I)
memoria-2021,77%(M) -- 83%(I)
france-2021,41%(M) -- 57%(I)
flee-2021,68%(M) -- 63%(I)
mass-2021,73%(M) -- 63%(I)
in-front-of-your-face,58%(M) -- 70%(I)
red-rocket-2021,69%(M) -- 67%(I)
the-innocents-2021,56%(M) -- 62%(I)
the-worst-person-in-the-world,70%(M) -- 75%(I)
encanto,56%(M) -- 41%(I)
the-long-goodbye-2020,58%(M) -- 48%(I)
hawkeye-2021,37%(M) -- 30%(I)
the-hand-of-god,65%(M) -- 71%(I)
the-rescue-2021,69%(M) -- 61%(I)
silent-night-2021,37%(M) -- 35%(I)
parallel-mothers,63%(M) -- 76%(I)
maniac-2018,46%(M) -- 56%(I)
belfast,48%(M) -- 38%(I)
cusp,46%(M) -- 44%(I)
the-last-duel-2021,63%(M) -- 65%(I)
limbo-2021,56%(M) -- 51%(I)
plus-one-2019,40%(M) -- 45%(I)
nitram,64%(M) -- 58%(I)
the-humans,59%(M) -- 66%(I)
venom-let-there-be-carnage,33%(M) -- 43%(I)
boiling-point-2021,55%(M) -- 46%(I)
king-richard,48%(M) -- 48%(I)
last-night-in-soho,39%(M) -- 42%(I)
the-harder-they-fall-2021,55%(M) -- 53%(I)
passing-2021,57%(M) -- 69%(I)
drive-my-car,79%(M) -- 80%(I)
benedetta,56%(M) -- 79%(I)
love-hard,34%(M) -- 44%(I)
language-lessons,54%(M) -- 50%(I)
no-sudden-move,49%(M) -- 57%(I)
attack-of-the-hollywood-cliches,29%(M) -- 35%(I)
lake-mungo,33%(M) -- 39%(I)
free-guy,25%(M) -- 23%(I)
the-trip-2021,31%(M) -- 35%(I)
im-your-man-2021,56%(M) -- 55%(I)
the-great-movement,44%(M) -- 43%(I)
short-vacation,57%(M) -- 64%(I)
ste-anne,41%(M) -- 48%(I)
the-bones,61%(M) -- 51%(I)
cliff-walkers,48%(M) -- 40%(I)
petite-maman,78%(M) -- 77%(I)
mad-god,52%(M) -- 51%(I)
midnight-2021,37%(M) -- 33%(I)
beyond-the-infinite-two-minutes,56%(M) -- 46%(I)
zalava,61%(M) -- 51%(I)
after-blue-dirty-paradise,57%(M) -- 53%(I)
klute,66%(M) -- 70%(I)
deerskin,53%(M) -- 60%(I)
love-basketball,58%(M) -- 52%(I)
playground-2021,65%(M) -- 65%(I)
night-is-short-walk-on-girl,74%(M) -- 65%(I)
dear-evan-hansen,37%(M) -- 31%(I)
tetsuo-the-iron-man,63%(M) -- 68%(I)
the-card-counter,50%(M) -- 61%(I)
cry-macho,39%(M) -- 46%(I)
old-2021,43%(M) -- 35%(I)
the-guilty-2021,25%(M) -- 36%(I)
the-power-of-the-dog,77%(M) -- 82%(I)
beast-2021,56%(M) -- 51%(I)
la-civil,56%(M) -- 44%(I)
kate,25%(M) -- 32%(I)
azor,56%(M) -- 63%(I)
prayers-for-the-stolen,69%(M) -- 72%(I)
the-man-standing-next,54%(M) -- 42%(I)
beanpole,70%(M) -- 87%(I)
happier-than-ever-a-love-letter-to-los-angeles,48%(M) -- 41%(I)
baxter-vera-baxter,59%(M) -- 60%(I)
america-the-motion-picture,36%(M) -- 39%(I)
bastards-2013,60%(M) -- 68%(I)
barbara,65%(M) -- 72%(I)
bad-guy,60%(M) -- 43%(I)
bye-bye-morons,59%(M) -- 48%(I)
ballet-mecanique,60%(M) -- 68%(I)
the-most-beautiful-boy-in-the-world,48%(M) -- 55%(I)
bad-education,53%(M) -- 73%(I)
the-green-knight,87%(M) -- 73%(I)
attenberg,58%(M) -- 60%(I)
a-simple-favor,35%(M) -- 29%(I)
ashik-kerib,58%(M) -- 58%(I)
even-dwarfs-started-small,62%(M) -- 60%(I)
undine-2020,68%(M) -- 77%(I)
karnawal,44%(M) -- 44%(I)
reminiscence-2021,23%(M) -- 25%(I)
true-mothers,62%(M) -- 66%(I)
film:605793,42%(M) -- 45%(I)
coda-2021,61%(M) -- 55%(I)
antoine-and-colette,67%(M) -- 64%(I)
tale-of-cinema,62%(M) -- 65%(I)
sweet-thing-2020,49%(M) -- 57%(I)
angst,57%(M) -- 57%(I)
introduction-2021,59%(M) -- 62%(I)
dead-or-alive,57%(M) -- 55%(I)
social-hygiene,38%(M) -- 48%(I)
schoolgirls,43%(M) -- 41%(I)
spring-blossom,55%(M) -- 58%(I)
exile-2020,54%(M) -- 49%(I)
users-2021,44%(M) -- 36%(I)
el-planeta,59%(M) -- 59%(I)
the-dog-who-wouldnt-be-quiet,49%(M) -- 51%(I)
an-autumn-afternoon,73%(M) -- 78%(I)
its-a-summer-film,52%(M) -- 38%(I)
an-angel-at-my-table,68%(M) -- 65%(I)
amateur,59%(M) -- 68%(I)
alucarda,59%(M) -- 64%(I)
vivo,35%(M) -- 33%(I)
almayers-folly,59%(M) -- 53%(I)
the-suicide-squad,49%(M) -- 45%(I)
val,46%(M) -- 43%(I)
wheel-of-fortune-and-fantasy,75%(M) -- 83%(I)
abnormal-family,42%(M) -- 41%(I)
a-zed-two-noughts,59%(M) -- 57%(I)
wife-of-a-spy,58%(M) -- 52%(I)
a-touch-of-zen,70%(M) -- 63%(I)
a-time-for-drunken-horses,54%(M) -- 61%(I)
sweat-2020,44%(M) -- 39%(I)
35-shots-of-rum,66%(M) -- 81%(I)
gunpowder-milkshake,29%(M) -- 35%(I)
13-assassins,67%(M) -- 53%(I)
black-widow-2021,23%(M) -- 28%(I)
the-tomorrow-war,30%(M) -- 34%(I)
woman-is-the-future-of-man,56%(M) -- 64%(I)
guys-and-dolls,56%(M) -- 49%(I)
oj-made-in-america,69%(M) -- 60%(I)
the-simpsons-the-good-the-bart-and-the-loki,45%(M) -- 42%(I)
red-moon-tide,44%(M) -- 62%(I)
splinters-2020,60%(M) -- 63%(I)
fruit-of-paradise,58%(M) -- 56%(I)
something-different,56%(M) -- 58%(I)
prime-time-2021,33%(M) -- 39%(I)
were-all-going-to-the-worlds-fair,45%(M) -- 47%(I)
coming-home-in-the-dark,41%(M) -- 36%(I)
arizona-dream,55%(M) -- 62%(I)
day-for-night,77%(M) -- 72%(I)
dodsworth,66%(M) -- 63%(I)
marty,63%(M) -- 52%(I)
luca-2021,50%(M) -- 45%(I)
fish-tank,81%(M) -- 79%(I)
16-wishes,36%(M) -- 30%(I)
like-someone-in-love,70%(M) -- 71%(I)
me-and-you-and-everyone-we-know,65%(M) -- 72%(I)
us-again-2021,44%(M) -- 41%(I)
hard-eight,57%(M) -- 59%(I)
cold-water,55%(M) -- 55%(I)
bad-luck-banging-or-loony-porn,63%(M) -- 69%(I)
the-long-goodbye,71%(M) -- 78%(I)
touki-bouki,51%(M) -- 55%(I)
bo-burnham-what,56%(M) -- 57%(I)
bo-burnham-make-happy,49%(M) -- 61%(I)
medium-cool,59%(M) -- 59%(I)
magnificent-obsession-1954,64%(M) -- 67%(I)
army-of-the-dead-2021,24%(M) -- 35%(I)
oliver-company,40%(M) -- 33%(I)
bug-2006,37%(M) -- 35%(I)
odd-man-out,63%(M) -- 70%(I)
trouble-in-paradise,67%(M) -- 79%(I)
barcelona,59%(M) -- 62%(I)
coded-bias,59%(M) -- 52%(I)
the-raven,53%(M) -- 45%(I)
waking-sleeping-beauty,54%(M) -- 44%(I)
the-pixar-story,54%(M) -- 45%(I)
the-darjeeling-limited,61%(M) -- 57%(I)
22-vs-earth,34%(M) -- 35%(I)
the-mitchells-vs-the-machines,64%(M) -- 55%(I)
peppermint-candy,71%(M) -- 70%(I)
diary-of-a-chambermaid,60%(M) -- 63%(I)
the-falcon-and-the-winter-soldier,30%(M) -- 29%(I)
twenty-years-later,60%(M) -- 51%(I)
duvidha,56%(M) -- 52%(I)
love-and-monsters,44%(M) -- 43%(I)
the-meetings-of-anna,71%(M) -- 78%(I)
inner-workings,36%(M) -- 29%(I)
maggie-simpson-in-playdate-with-destiny,34%(M) -- 35%(I)
my-brothers-wedding,60%(M) -- 47%(I)
the-living-end,46%(M) -- 36%(I)
the-life-ahead,39%(M) -- 48%(I)
eurovision-song-contest-the-story-of-fire-saga,35%(M) -- 40%(I)
the-last-blockbuster,45%(M) -- 36%(I)
open-range,53%(M) -- 41%(I)
greyhound,24%(M) -- 35%(I)
the-man-who-sold-his-skin,47%(M) -- 47%(I)
yes-people,37%(M) -- 35%(I)
white-eye,58%(M) -- 50%(I)
two-distant-strangers,33%(M) -- 37%(I)
opera-2020,58%(M) -- 50%(I)
hunger-ward,55%(M) -- 44%(I)
the-newton-boys,44%(M) -- 37%(I)
the-present-2020,51%(M) -- 52%(I)
better-days-2019,60%(M) -- 41%(I)
the-letter-room,40%(M) -- 35%(I)
emma-2020,36%(M) -- 53%(I)
the-united-states-vs-billie-holiday,33%(M) -- 40%(I)
coven-2020-1,42%(M) -- 36%(I)
cryptozoo,53%(M) -- 63%(I)
as-we-like-it-2021,43%(M) -- 50%(I)
death-of-nintendo,47%(M) -- 49%(I)
collective,64%(M) -- 69%(I)
kicking-and-screaming,54%(M) -- 51%(I)
james-white,72%(M) -- 74%(I)
nine-to-five,41%(M) -- 37%(I)
menace-ii-society,44%(M) -- 36%(I)
moxie-2021,34%(M) -- 30%(I)
the-invisible-guest,50%(M) -- 44%(I)
boomerang-1992,33%(M) -- 26%(I)
raya-and-the-last-dragon,42%(M) -- 37%(I)
bad-lieutenant,67%(M) -- 77%(I)
out-2020-1,48%(M) -- 50%(I)
a-love-song-for-latasha,60%(M) -- 64%(I)
coming-2-america,30%(M) -- 35%(I)
wandavision,48%(M) -- 51%(I)
beautiful-thing,53%(M) -- 47%(I)
billie-eilish-the-worlds-a-little-blurry,59%(M) -- 46%(I)
weekend-1967,77%(M) -- 82%(I)
do-not-split,53%(M) -- 48%(I)
i-care-a-lot,32%(M) -- 34%(I)
proud-mary,37%(M) -- 35%(I)
crime-scene-the-vanishing-at-the-cecil-hotel,37%(M) -- 35%(I)
all-is-forgiven,58%(M) -- 47%(I)
dead-pigs,55%(M) -- 49%(I)
artemis-fowl,38%(M) -- 34%(I)
to-all-the-boys-always-and-forever,31%(M) -- 32%(I)
taipei-suicide-story,54%(M) -- 57%(I)
american-murder-the-family-next-door,33%(M) -- 36%(I)
news-of-the-world,34%(M) -- 42%(I)
colette-2020,55%(M) -- 46%(I)
feeling-through,47%(M) -- 43%(I)
a-concerto-is-a-conversation,36%(M) -- 38%(I)
nobody-knows-im-here,47%(M) -- 50%(I)
knocking-2021,51%(M) -- 48%(I)
and-tomorrow-the-entire-world,41%(M) -- 40%(I)
la-veronica,48%(M) -- 43%(I)
pleasure-2021,55%(M) -- 65%(I)
space-sweepers,42%(M) -- 40%(I)
mlk-fbi,51%(M) -- 59%(I)
the-personal-history-of-david-copperfield,50%(M) -- 55%(I)
beginning-2020,69%(M) -- 73%(I)
collateral-beauty,27%(M) -- 24%(I)
limbo-2020-1,64%(M) -- 69%(I)
quo-vadis-aida,67%(M) -- 69%(I)
we-bought-a-zoo,31%(M) -- 35%(I)
night-of-the-kings,53%(M) -- 52%(I)
slalom,54%(M) -- 71%(I)
dear-comrades,65%(M) -- 75%(I)
prisoners-of-the-ghostland,38%(M) -- 38%(I)
the-white-tiger,43%(M) -- 41%(I)
conference,55%(M) -- 57%(I)
the-killing-of-two-lovers,60%(M) -- 58%(I)
battles-without-honor-and-humanity,56%(M) -- 59%(I)
aladdin-2019,30%(M) -- 35%(I)
onward-2020,51%(M) -- 48%(I)
the-lion-king-2019,25%(M) -- 33%(I)
mulan-2020,20%(M) -- 22%(I)
one-night-in-miami,53%(M) -- 57%(I)
ran,78%(M) -- 76%(I)
kajillionaire,52%(M) -- 76%(I)
alex-wheatle,46%(M) -- 53%(I)
what-we-wanted,40%(M) -- 36%(I)
project-power-2020,38%(M) -- 36%(I)
the-rhythm-section,29%(M) -- 36%(I)
the-babysitter-killer-queen,31%(M) -- 33%(I)
cops-and-robbers-2020,51%(M) -- 50%(I)
freaky,40%(M) -- 38%(I)
burrow,53%(M) -- 39%(I)
wonder-woman-1984,20%(M) -- 22%(I)
cat-people-1982,50%(M) -- 55%(I)
the-rental,32%(M) -- 43%(I)
red-white-and-blue-2020,66%(M) -- 61%(I)
boys-state,59%(M) -- 56%(I)
the-nest-2020,52%(M) -- 67%(I)
fourteen-2019,59%(M) -- 65%(I)
palm-springs-2020,50%(M) -- 67%(I)
lovers-rock-2020,70%(M) -- 83%(I)
first-cow,75%(M) -- 70%(I)
relic,51%(M) -- 57%(I)
we-are-the-best,62%(M) -- 56%(I)
7500,41%(M) -- 36%(I)
canvas-2020,37%(M) -- 42%(I)
if-anything-happens-i-love-you,58%(M) -- 58%(I)
im-your-woman,41%(M) -- 34%(I)
save-yourselves,39%(M) -- 39%(I)
spontaneous,50%(M) -- 52%(I)
falling-2020,49%(M) -- 36%(I)
dick-johnson-is-dead,73%(M) -- 73%(I)
mank,68%(M) -- 74%(I)
shithouse,57%(M) -- 60%(I)
mangrove-2020,68%(M) -- 70%(I)
the-woman-who-ran,69%(M) -- 73%(I)
andrey-tarkovsky-a-cinema-prayer,61%(M) -- 68%(I)
quiet-2020,56%(M) -- 51%(I)
mulan,72%(M) -- 50%(I)
about-endlessness,74%(M) -- 80%(I)
my-heart-cant-beat-unless-you-tell-it-to,42%(M) -- 36%(I)
charlatan,56%(M) -- 48%(I)
la-llorona-2019,63%(M) -- 60%(I)
never-gonna-snow-again,60%(M) -- 51%(I)
hope-2019,50%(M) -- 49%(I)
silent-running,44%(M) -- 37%(I)
city-hall-2020,60%(M) -- 56%(I)
irresistible-2020,29%(M) -- 33%(I)
daybreakers,50%(M) -- 41%(I)
jumbo-2020,44%(M) -- 54%(I)
the-cordillera-of-dreams,58%(M) -- 55%(I)
new-order-2020,43%(M) -- 53%(I)
crooklyn,61%(M) -- 66%(I)
society,43%(M) -- 45%(I)
fay-grim,63%(M) -- 62%(I)
feels-good-man,59%(M) -- 64%(I)
borat-subsequent-moviefilm,44%(M) -- 46%(I)
rebecca-2020,37%(M) -- 34%(I)
spree-2020,46%(M) -- 39%(I)
beastie-boys-story,54%(M) -- 47%(I)
the-forty-year-old-version,64%(M) -- 62%(I)
suburbia,48%(M) -- 50%(I)
an-american-pickle,30%(M) -- 36%(I)
song-of-love-1950,68%(M) -- 73%(I)
red-post-on-escher-street,61%(M) -- 59%(I)
uppercase-print,56%(M) -- 63%(I)
film:502471,43%(M) -- 56%(I)
if-it-were-love,45%(M) -- 56%(I)
one-hundred-and-one-nights,61%(M) -- 69%(I)
the-cat-o-nine-tails,37%(M) -- 36%(I)
the-trouble-with-being-born,41%(M) -- 44%(I)
all-hands-on-deck-2020,60%(M) -- 73%(I)
the-prince-of-tides,36%(M) -- 29%(I)
boyz-n-the-hood,61%(M) -- 68%(I)
naked-animals,43%(M) -- 47%(I)
my-name-is-baghdad,60%(M) -- 66%(I)
acasa-my-home,56%(M) -- 51%(I)
asia,48%(M) -- 36%(I)
selah-and-the-spades,46%(M) -- 50%(I)
meatballs,42%(M) -- 36%(I)
st-elmos-fire,56%(M) -- 48%(I)
john-was-trying-to-contact-aliens,49%(M) -- 46%(I)
night-shift-2020,38%(M) -- 36%(I)
liberte,44%(M) -- 48%(I)
the-king-of-staten-island,36%(M) -- 44%(I)
forgotten-silver,48%(M) -- 56%(I)
the-grand-bizarre-2018,56%(M) -- 51%(I)
vever-for-barbara,48%(M) -- 56%(I)
the-magdalene-sisters,53%(M) -- 56%(I)
advocate,56%(M) -- 50%(I)
bill-ted-face-the-music,40%(M) -- 33%(I)
assault-on-precinct-13,43%(M) -- 65%(I)
the-kingmaker,58%(M) -- 53%(I)
sorry-we-missed-you,70%(M) -- 80%(I)
nomad-in-the-footsteps-of-bruce-chatwin,54%(M) -- 49%(I)
siberia-2020,45%(M) -- 44%(I)
oh-mercy,42%(M) -- 61%(I)
the-limey,48%(M) -- 54%(I)
the-sleepwalkers,59%(M) -- 57%(I)
papicha,63%(M) -- 62%(I)
this-is-not-a-burial-its-a-resurrection,58%(M) -- 66%(I)
the-perfect-candidate-2019,49%(M) -- 54%(I)
on-a-magical-night,49%(M) -- 60%(I)
white-on-white-2019,58%(M) -- 66%(I)
blood-and-black-lace,58%(M) -- 61%(I)
metropolitan,72%(M) -- 76%(I)
india-song,60%(M) -- 56%(I)
an-officer-and-a-spy,44%(M) -- 56%(I)
the-fever-2019,49%(M) -- 56%(I)
a-moment-of-innocence,73%(M) -- 65%(I)
love-meetings,42%(M) -- 36%(I)
nona-if-they-soak-me-ill-burn-them,38%(M) -- 41%(I)
be-natural-the-untold-story-of-alice-guy-blache,54%(M) -- 48%(I)
christine-1983,56%(M) -- 61%(I)
the-wrong-missy,30%(M) -- 33%(I)
wont-you-be-my-neighbor,63%(M) -- 58%(I)
the-decline-of-western-civilization,53%(M) -- 64%(I)
two-lovers,59%(M) -- 66%(I)
monsoon-wedding,59%(M) -- 55%(I)
the-lovebirds,33%(M) -- 35%(I)
wendy-and-lucy,64%(M) -- 78%(I)
serial-mom,58%(M) -- 59%(I)
born-in-flames,71%(M) -- 70%(I)
simple-men,59%(M) -- 59%(I)
mo-better-blues,59%(M) -- 62%(I)
the-strong-ones,54%(M) -- 47%(I)
high-art,42%(M) -- 42%(I)
the-accidental-tourist,55%(M) -- 44%(I)
sleepwalk,38%(M) -- 48%(I)
taboo-1999,61%(M) -- 58%(I)
babyteeth,60%(M) -- 80%(I)
young-ahmed,45%(M) -- 44%(I)
infinite-football,54%(M) -- 50%(I)
true-stories,69%(M) -- 75%(I)
rare-exports-a-christmas-tale,33%(M) -- 27%(I)
dear-zachary-a-letter-to-a-son-about-his-father,65%(M) -- 64%(I)
the-happiness-of-the-katakuris,61%(M) -- 70%(I)
eric-andre-legalize-everything,52%(M) -- 44%(I)
edward-2019,59%(M) -- 46%(I)
family-romance-llc,56%(M) -- 66%(I)
labyrinth-of-cinema,65%(M) -- 67%(I)
empty-places,42%(M) -- 36%(I)
genius-loci,54%(M) -- 50%(I)
tromeo-juliet,33%(M) -- 28%(I)
tom-and-jerry-the-movie,23%(M) -- 29%(I)
the-wind,65%(M) -- 64%(I)
the-thief-of-bagdad,61%(M) -- 50%(I)
the-sorcerers-apprentice-2010,27%(M) -- 29%(I)
the-skeleton-dance,66%(M) -- 67%(I)
the-return-of-the-pink-panther,50%(M) -- 47%(I)
the-lost-world,42%(M) -- 37%(I)
the-land-before-time-the-great-valley-adventure,52%(M) -- 41%(I)
the-hunchback-of-notre-dame-1996,59%(M) -- 45%(I)
the-house-bunny,20%(M) -- 25%(I)
the-gods-must-be-crazy,50%(M) -- 39%(I)
the-body-snatcher,42%(M) -- 36%(I)
to-wong-foo-thanks-for-everything-julie-newmar,42%(M) -- 36%(I)
taxi-4,41%(M) -- 36%(I)
taxi-1998,43%(M) -- 33%(I)
steamboat-willie,46%(M) -- 55%(I)
steamboat-bill-jr,72%(M) -- 69%(I)
seven-chances,63%(M) -- 64%(I)
rurouni-kenshin-part-i-origins,52%(M) -- 42%(I)
babys-meal,39%(M) -- 38%(I)
kill-it-and-leave-this-town,39%(M) -- 32%(I)
police-academy-5-assignment-miami-beach,33%(M) -- 25%(I)
police-academy,27%(M) -- 24%(I)
payback,34%(M) -- 27%(I)
tremble-all-you-want,55%(M) -- 42%(I)
out-for-justice,37%(M) -- 26%(I)
octopussy,30%(M) -- 26%(I)
nothing-sacred,61%(M) -- 59%(I)
national-lampoons-christmas-vacation,47%(M) -- 54%(I)
miracle-on-34th-street-1994,53%(M) -- 43%(I)
marnie,33%(M) -- 26%(I)
manon-of-the-spring,63%(M) -- 54%(I)
little-buddha,38%(M) -- 36%(I)
lionheart,48%(M) -- 53%(I)
license-to-drive,40%(M) -- 35%(I)
da-5-bloods,55%(M) -- 65%(I)
the-infernal-cauldron,42%(M) -- 35%(I)
lady-and-the-tramp,59%(M) -- 46%(I)
lamore-1948,58%(M) -- 56%(I)
knick-knack,51%(M) -- 46%(I)
joe-versus-the-volcano,59%(M) -- 57%(I)
fist-of-fury,47%(M) -- 37%(I)
jaws-the-revenge,38%(M) -- 33%(I)
it-takes-two,37%(M) -- 26%(I)
indiana-jones-and-the-kingdom-of-the-crystal-skull,33%(M) -- 27%(I)
in-the-army-now,43%(M) -- 50%(I)
hellbound-hellraiser-ii,46%(M) -- 55%(I)
eeb-allay-ooo,42%(M) -- 40%(I)
fright-night,53%(M) -- 56%(I)
friday-the-13th-part-vi-jason-lives,48%(M) -- 56%(I)
friday-the-13th-part-iii,34%(M) -- 50%(I)
friday-the-13th-part-2,34%(M) -- 35%(I)
frenemies,37%(M) -- 34%(I)
histoires-du-cinema-2b-deadly-beauty,57%(M) -- 55%(I)
end-of-days,32%(M) -- 27%(I)
the-cats-2016,42%(M) -- 36%(I)
cerulia,56%(M) -- 45%(I)
anna-2019-1,41%(M) -- 32%(I)
double-impact,33%(M) -- 26%(I)
the-name-of-the-rose,43%(M) -- 37%(I)
dinner-for-one,50%(M) -- 42%(I)
deep-rising,45%(M) -- 32%(I)
dead-presidents,54%(M) -- 43%(I)
critters-2,38%(M) -- 34%(I)
caravaggio,60%(M) -- 69%(I)
brain-damage,59%(M) -- 61%(I)
crazy-world-2014,46%(M) -- 46%(I)
beyond-the-mat,40%(M) -- 56%(I)
begone-dull-care,58%(M) -- 57%(I)
bambi-meets-godzilla,56%(M) -- 49%(I)
driveways,61%(M) -- 64%(I)
and-then-the-bear,49%(M) -- 51%(I)
patton-oswalt-i-love-everything,57%(M) -- 55%(I)
white-echo,37%(M) -- 32%(I)
the-distance-between-us-and-the-sky,55%(M) -- 46%(I)
marooned-2019,54%(M) -- 42%(I)
bacurau,64%(M) -- 82%(I)
the-vast-of-night,59%(M) -- 62%(I)
the-italian-job,48%(M) -- 44%(I)
fire-2015,55%(M) -- 65%(I)
all-my-life-1966,62%(M) -- 59%(I)
poltergeist-iii,41%(M) -- 34%(I)
shivers,45%(M) -- 52%(I)
wanda,73%(M) -- 79%(I)
fear-and-desire,38%(M) -- 48%(I)
a-walk-in-the-clouds,43%(M) -- 37%(I)
a-nightmare-on-elm-street-the-dream-child,29%(M) -- 25%(I)
3-men-and-a-baby,27%(M) -- 25%(I)
promare,57%(M) -- 57%(I)
weathering-with-you,34%(M) -- 40%(I)
court,65%(M) -- 64%(I)
loves-of-a-blonde,57%(M) -- 54%(I)
chocolat-1988,60%(M) -- 66%(I)
babettes-feast,69%(M) -- 70%(I)
eves-bayou,64%(M) -- 51%(I)
the-new-world,76%(M) -- 81%(I)
hollywood-2020,58%(M) -- 48%(I)
some-kind-of-heaven,57%(M) -- 54%(I)
bad-education-2019,50%(M) -- 58%(I)
state-funeral,55%(M) -- 49%(I)
the-truth-2019,46%(M) -- 62%(I)
near-dark,44%(M) -- 44%(I)
funny-people,26%(M) -- 45%(I)
babenco-tell-me-when-i-die,60%(M) -- 51%(I)
love-antosha,59%(M) -- 60%(I)
proxima-2019,45%(M) -- 49%(I)
the-whistlers,49%(M) -- 66%(I)
glass-2019,28%(M) -- 39%(I)
split-2016,61%(M) -- 50%(I)
the-green-fog,59%(M) -- 67%(I)
while-at-war,40%(M) -- 36%(I)
premature-2019,40%(M) -- 50%(I)
the-gentlemen,46%(M) -- 41%(I)
swallow-2019,46%(M) -- 64%(I)
the-player,79%(M) -- 81%(I)
corpus-christi-2019,69%(M) -- 73%(I)
seberg,38%(M) -- 37%(I)
clemency,45%(M) -- 43%(I)
big-time-adolescence,38%(M) -- 41%(I)
guns-akimbo,30%(M) -- 35%(I)
first-love-2019,51%(M) -- 53%(I)
a-nightmare-on-elm-street-4-the-dream-master,35%(M) -- 25%(I)
the-old-man-and-the-sea-1999,58%(M) -- 58%(I)
tango,66%(M) -- 65%(I)
tin-toy,41%(M) -- 36%(I)
boundin,43%(M) -- 37%(I)
martin-eden-2019,70%(M) -- 83%(I)
come-to-daddy,41%(M) -- 30%(I)
desert-hearts,66%(M) -- 60%(I)
howard-the-duck,35%(M) -- 36%(I)
the-last-thing-he-wanted,38%(M) -- 36%(I)
the-daytrippers,54%(M) -- 54%(I)
bagdad-cafe,59%(M) -- 67%(I)
true-history-of-the-kelly-gang,47%(M) -- 51%(I)
horse-girl-2020,29%(M) -- 47%(I)
honeyland-2019,66%(M) -- 65%(I)
earthquake-bird,36%(M) -- 35%(I)
the-edge-of-democracy,57%(M) -- 51%(I)
big-wednesday,57%(M) -- 56%(I)
pete-davidson-alive-from-new-york,55%(M) -- 44%(I)
hardcore,48%(M) -- 47%(I)
american-son-2019,52%(M) -- 41%(I)
confidentially-yours,65%(M) -- 69%(I)
gas-food-lodging,56%(M) -- 54%(I)
the-perfection,31%(M) -- 34%(I)
carnal-knowledge,42%(M) -- 39%(I)
doctor-sleep,43%(M) -- 56%(I)
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,55%(M) -- 40%(I)
frankie-2019,41%(M) -- 40%(I)
bait-2019,68%(M) -- 71%(I)
berlin-symphony-of-a-great-city,61%(M) -- 61%(I)
the-black-dahlia,36%(M) -- 39%(I)
negative-space,57%(M) -- 59%(I)
